handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
mrosenblatt,Michael Rosenblatt,3643,348,0,1,580,37,21,440
ElinWallberg,Elin Wallberg,2192,1419,0,1,730,1273,73,803
LoveToText,Love ToText,3040,68705,1,1,1021,489,57,1005
KevinGilroy,Kevin Gilroy,2612,1015,0,1,633,204,80,1712
samsung_review,Subtitles,2711,44303,0,1,828,0,11,357
janineemoon,Janine Mooney,1067,919,0,1,1685,480,74,1241
JBoishere,Jon Borenstein,1740,5062,0,1,325,4004,17,1181
Galaxy_S6_News,Samsung Galaxy S6,948,2784,1,1,46,0,9,1276
SamsungJackets,Philipp H,2300,264,1,1,464,503,0,78
breaking_fourth,Breaking Fourth,753,547,1,1,1071,536,71,860
GoldenGekko,Golden Gekko,3182,1448,1,1,1596,54,110,1567
panhoong,Whan Woong Kim,3810,1024,1,1,783,170,48,716
int13,int13,3100,596,1,1,242,1,97,941
bomoon,Bo Moon,3087,88,1,1,342,20,13,343
harizh,Harish Krishna,3152,581,1,1,438,74,18,410
TodaysCloseout,Todays Closeout,3208,1405,1,1,1951,0,0,2389
jcnaour,JeanChristophe Naour,3116,3129,1,1,323,208,34,1203
SimlockServer,Steven,2875,734,1,1,378,14,4,1610
campgraham,Campbell Graham,2923,337,1,1,824,50,27,559
SamsungCNC,Samsung Machine Tool,1915,56,1,1,1020,4,5,726
Samsung_Saudi,SamsungSaudi,2118,47237,1,1,44,767,621,696956
PlumpandPretty_,samsung note 7 pussy,2332,144950,1,1,761,28315,30,1968
leahhuyghe,Leah Huyghe,2183,124,1,1,366,519,62,1209
FirstGeekDanny,Danny Baromen,3399,16686,1,1,237,11454,26,503
StefanHeuser,Stefan Heuser,1975,147,0,1,888,60,10,441
rootsamsung,Root Samsung,1495,145,1,1,73,3,0,104
VRfilmsInc,VRfilms.com,1154,371,1,1,398,45,55,1252
PforProduction,P for Production,2347,380,1,1,642,33,25,1607
SamsungRacing,Samsung Racing,974,731,1,1,147,504,3,242
niedzielski,Stephen Niedzielski,3422,668,1,1,808,15,19,222
SingSpaceGame,SingSpace,366,100,1,1,44,15,0,156
drjpierce,Jeff Pierce,3263,1945,1,1,69,0,39,369
eoincruise,Eoin Cruise,3190,1401,1,1,2036,144,5,703
ilovemygear,I Love My Gear,1299,212381,1,1,613,444,2093,2616
samsungmobilemx,Samsung Mobile MX,2719,32769,1,1,1825,2812,601,362256
