handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
underthe_seay,Hanna Seay,1631,1379,1,1,369,8901,0,536
mo_roberson,King Kente,1960,1474,0,1,101,551,0,180
LoriHlav,Hlori☮️Hlav,940,14621,1,1,818,13162,23,565
TaylorKoch00,Taylor 🌻,1597,1615,1,1,609,5402,1,514
OpMaxine,Maxine McKenzie-Mate,1564,13477,1,1,2126,6839,7,538
BarackthevoteTM,BarackTheVote.com,2683,1322,1,1,307,4,5,27335
ObamaChange,Barack Obama,3235,131,1,1,0,0,42,3567
FakeOmaba,Barack Obama,3095,6,1,1,743,0,12,1430
Barack1776,Barack Obama,700,249,1,1,16,326,1,51
ObamasChecklist,Obama's Checklist,2017,285,1,1,213,0,5,12957
rmcgilvra,Rosita,3063,24448,1,1,483,1761,7,665
TheyLuvJazz,🌈💝🏳️‍🌈,1253,22244,1,1,3288,21203,0,4124
ParkerLovesArt,Barack Obama,1142,608,0,1,202,771,1,108
ZeeWhiteHouse,Barack Obama,1817,522,0,1,28,1,0,36
